seqname	miRNA_ctr1.bed	miRNA_ctr2.bed	miRNA_ctr3.bed	miRNA_trt4.bed	miRNA_trt5.bed	miRNA_trt6.bed
ID=MI0000640;Alias=MI0000640;Name=mmu-mir-350	0	11	4	3	7	5
ID=MI0000643;Alias=MI0000643;Name=mmu-mir-351	22	37	8	12	20	34
ID=MI0000646;Alias=MI0000646;Name=mmu-mir-135b	0	0	0	0	2	0
ID=MI0000649;Alias=MI0000649;Name=mmu-mir-101b	37	35	15	23	31	19
ID=MI0000652;Alias=MI0000652;Name=mmu-mir-1a-2	0	0	0	0	0	0
ID=MI0000684;Alias=MI0000684;Name=mmu-mir-107	2	7	3	3	6	7
ID=MI0000685;Alias=MI0000685;Name=mmu-mir-10a	18755	20855	10256	19463	21907	22471
ID=MI0000687;Alias=MI0000687;Name=mmu-mir-17	12	12	4	11	5	6
ID=MI0000688;Alias=MI0000688;Name=mmu-mir-19a	37	22	17	16	17	10
ID=MI0000689;Alias=MI0000689;Name=mmu-mir-25	1091	821	473	738	817	625
ID=MI0000690;Alias=MI0000690;Name=mmu-mir-28a	16	13	7	14	7	25
ID=MI0000691;Alias=MI0000691;Name=mmu-mir-32	7	2	4	2	6	7
ID=MI0000692;Alias=MI0000692;Name=mmu-mir-100	41	38	11	25	46	26
ID=MI0000693;Alias=MI0000693;Name=mmu-mir-139	6	3	3	4	8	11
ID=MI0000694;Alias=MI0000694;Name=mmu-mir-200c	45	64	37	72	58	68
ID=MI0000695;Alias=MI0000695;Name=mmu-mir-210	2	5	3	10	13	13
ID=MI0000696;Alias=MI0000696;Name=mmu-mir-212	7	3	2	16	13	12
ID=MI0000697;Alias=MI0000697;Name=mmu-mir-181a-1	124	397	44	199	71	438
ID=MI0000698;Alias=MI0000698;Name=mmu-mir-214	2	11	7	1	3	4
ID=MI0000699;Alias=MI0000699;Name=mmu-mir-216a	0	0	0	0	0	1
ID=MI0000700;Alias=MI0000700;Name=mmu-mir-218-1	1	3	2	2	4	3
ID=MI0000701;Alias=MI0000701;Name=mmu-mir-218-2	2	1	2	2	0	10
ID=MI0000702;Alias=MI0000702;Name=mmu-mir-219a-1	1	0	0	2	1	2
ID=MI0000703;Alias=MI0000703;Name=mmu-mir-223	11	13	10	1	18	17
ID=MI0000704;Alias=MI0000704;Name=mmu-mir-320	11	10	23	17	21	23
ID=MI0000706;Alias=MI0000706;Name=mmu-mir-26a-2	3756	3632	71	3095	924	4575
ID=MI0000707;Alias=MI0000707;Name=mmu-mir-33	4	1	2	1	2	3
ID=MI0000708;Alias=MI0000708;Name=mmu-mir-211	0	0	0	0	2	0
ID=MI0000709;Alias=MI0000709;Name=mmu-mir-221	41	86	19	40	53	39
ID=MI0000710;Alias=MI0000710;Name=mmu-mir-222	23	44	11	26	39	30
ID=MI0000711;Alias=MI0000711;Name=mmu-mir-224	3	3	0	2	1	6
ID=MI0000712;Alias=MI0000712;Name=mmu-mir-29b-2	3	7	2	2	4	8
ID=MI0000713;Alias=MI0000713;Name=mmu-mir-199a-2	199	275	110	116	64	81
ID=MI0000714;Alias=MI0000714;Name=mmu-mir-199b	13	48	28	9	228	224
ID=MI0000715;Alias=MI0000715;Name=mmu-mir-135a-2	0	2	0	0	0	0
ID=MI0000716;Alias=MI0000716;Name=mmu-mir-124-1	2	3	0	2	0	1
ID=MI0000717;Alias=MI0000717;Name=mmu-mir-124-2	1	0	1	1	8	0
ID=MI0000718;Alias=MI0000718;Name=mmu-mir-19b-1	70	35	28	38	61	50
ID=MI0000719;Alias=MI0000719;Name=mmu-mir-92a-1	6694	5287	2623	3955	3509	3894
ID=MI0000720;Alias=MI0000720;Name=mmu-mir-9-1	2	7	1	5	2	2
ID=MI0000721;Alias=MI0000721;Name=mmu-mir-9-3	0	3	9	8	16	2
ID=MI0000722;Alias=MI0000722;Name=mmu-mir-138-1	0	2	1	2	0	3
ID=MI0000723;Alias=MI0000723;Name=mmu-mir-181b-1	25	6	13	3	6	5
ID=MI0000724;Alias=MI0000724;Name=mmu-mir-181c	550	464	270	345	462	466
ID=MI0000725;Alias=MI0000725;Name=mmu-mir-125b-1	96	14	16	9	84	122
ID=MI0000726;Alias=MI0000726;Name=mmu-mir-128-2	0	0	0	1	2	0
ID=MI0000728;Alias=MI0000728;Name=mmu-mir-7a-1	12	9	6	4	16	15
ID=MI0000729;Alias=MI0000729;Name=mmu-mir-7a-2	114	94	66	87	132	101
ID=MI0000730;Alias=MI0000730;Name=mmu-mir-7b	0	3	0	0	1	2
ID=MI0000731;Alias=MI0000731;Name=mmu-mir-217	0	0	0	0	0	0
ID=MI0000733;Alias=MI0000733;Name=mmu-mir-194-2	8	6	3	1	0	8
ID=MI0000741;Alias=MI0000741;Name=mmu-mir-219a-2	1	0	1	0	0	0
ID=MI0000761;Alias=MI0000761;Name=mmu-mir-361	3	9	6	4	11	6
ID=MI0000763;Alias=MI0000763;Name=mmu-mir-362	1	4	2	0	0	5
ID=MI0000765;Alias=MI0000765;Name=mmu-mir-363	1	2	2	0	1	0
ID=MI0000768;Alias=MI0000768;Name=mmu-mir-365-1	0	2	1	0	0	0
ID=MI0000792;Alias=MI0000792;Name=mmu-mir-375	904	753	337	580	697	813
ID=MI0000793;Alias=MI0000793;Name=mmu-mir-376a	0	2	0	0	0	0
ID=MI0000794;Alias=MI0000794;Name=mmu-mir-377	0	1	0	0	3	2
ID=MI0000795;Alias=MI0000795;Name=mmu-mir-378a	6	19	4	9	11	4
ID=MI0000796;Alias=MI0000796;Name=mmu-mir-379	1	5	4	11	10	17
ID=MI0000797;Alias=MI0000797;Name=mmu-mir-380	0	1	1	0	0	1
ID=MI0000798;Alias=MI0000798;Name=mmu-mir-381	5	11	1	1	2	12
ID=MI0000799;Alias=MI0000799;Name=mmu-mir-382	0	0	0	0	0	0
ID=MI0000800;Alias=MI0000800;Name=mmu-mir-383	0	0	0	0	0	0
ID=MI0000817;Alias=MI0000817;Name=mmu-mir-335	8	6	6	2	4	8
ID=MI0000820;Alias=MI0000820;Name=mmu-mir-133a-2	23	38	15	16	30	33
ID=MI0000821;Alias=MI0000821;Name=mmu-mir-133b	0	0	0	0	1	0
ID=MI0000823;Alias=MI0000823;Name=mmu-mir-181b-2	0	46	4	16	21	50
ID=MI0000974;Alias=MI0000974;Name=mmu-mir-215	3	2	0	0	2	3
ID=MI0001146;Alias=MI0001146;Name=mmu-mir-384	0	1	0	0	0	0
ID=MI0001151;Alias=MI0001151;Name=mmu-mir-196b	33	68	23	30	57	118
ID=MI0001160;Alias=MI0001160;Name=mmu-mir-409	24	21	4	13	12	10
ID=MI0001161;Alias=MI0001161;Name=mmu-mir-410	21	9	10	11	10	18
ID=MI0001162;Alias=MI0001162;Name=mmu-mir-376b	2	1	4	2	1	2
ID=MI0001163;Alias=MI0001163;Name=mmu-mir-411	9	7	4	2	3	10
ID=MI0001164;Alias=MI0001164;Name=mmu-mir-412	0	0	0	0	1	4
ID=MI0001165;Alias=MI0001165;Name=mmu-mir-370	0	0	0	0	1	1
ID=MI0001447;Alias=MI0001447;Name=mmu-mir-425	733	696	442	877	917	927
ID=MI0001524;Alias=MI0001524;Name=mmu-mir-431	0	0	0	0	0	0
ID=MI0001525;Alias=MI0001525;Name=mmu-mir-433	0	2	0	0	2	2
ID=MI0001526;Alias=MI0001526;Name=mmu-mir-434	5	11	1	4	13	25
ID=MI0001638;Alias=MI0001638;Name=mmu-mir-448	0	0	0	0	0	0
ID=MI0001642;Alias=MI0001642;Name=mmu-mir-429	113	118	47	103	86	61
ID=MI0001645;Alias=MI0001645;Name=mmu-mir-365-2	1	1	1	0	4	2
ID=MI0001649;Alias=MI0001649;Name=mmu-mir-449a	824	688	363	450	735	754
ID=MI0001653;Alias=MI0001653;Name=mmu-mir-450a-1	0	0	0	0	0	0
ID=MI0001730;Alias=MI0001730;Name=mmu-mir-451a	5	2	6	7	15	5
ID=MI0001734;Alias=MI0001734;Name=mmu-mir-452	2	0	0	1	0	0
ID=MI0002398;Alias=MI0002398;Name=mmu-mir-463	494	363	176	235	328	264
ID=MI0002400;Alias=MI0002400;Name=mmu-mir-465a	214	172	146	144	202	504
ID=MI0002401;Alias=MI0002401;Name=mmu-mir-466a	6	3	0	0	0	0
ID=MI0002402;Alias=MI0002402;Name=mmu-mir-467a-1	0	1	6	0	0	0
ID=MI0002403;Alias=MI0002403;Name=mmu-mir-468	120	111	28	68	83	123
ID=MI0002405;Alias=MI0002405;Name=mmu-mir-470	1383	1236	700	1270	1514	1508
ID=MI0002406;Alias=MI0002406;Name=mmu-mir-471	54	34	28	17	37	33
ID=MI0003206;Alias=MI0003206;Name=mmu-mir-532	54	26	35	40	26	15
ID=MI0003476;Alias=MI0003476;Name=mmu-mir-489	0	0	0	0	0	0
ID=MI0003484;Alias=MI0003484;Name=mmu-mir-483	1	2	1	1	0	2
ID=MI0003491;Alias=MI0003491;Name=mmu-mir-484	2	3	1	1	10	4
ID=MI0003492;Alias=MI0003492;Name=mmu-mir-485	5	9	2	2	9	18
ID=MI0003493;Alias=MI0003493;Name=mmu-mir-486a	132	145	72	111	170	158
ID=MI0003517;Alias=MI0003517;Name=mmu-mir-546	0	2	0	0	0	6
ID=MI0003518;Alias=MI0003518;Name=mmu-mir-540	0	0	1	0	1	4
ID=MI0003519;Alias=MI0003519;Name=mmu-mir-543	0	0	0	0	0	0
ID=MI0003520;Alias=MI0003520;Name=mmu-mir-539	0	0	0	0	0	0
ID=MI0003521;Alias=MI0003521;Name=mmu-mir-541	50	81	33	107	102	69
ID=MI0003522;Alias=MI0003522;Name=mmu-mir-542	0	0	0	0	0	1
ID=MI0003523;Alias=MI0003523;Name=mmu-mir-547	1	2	3	0	0	1
ID=MI0003531;Alias=MI0003531;Name=mmu-mir-367	0	0	0	0	0	0
ID=MI0003532;Alias=MI0003532;Name=mmu-mir-494	0	0	0	0	0	0
ID=MI0003533;Alias=MI0003533;Name=mmu-mir-376c	0	1	0	1	0	0
ID=MI0003534;Alias=MI0003534;Name=mmu-mir-487b	0	0	0	0	0	0
ID=MI0003535;Alias=MI0003535;Name=mmu-mir-369	2	2	0	0	1	1
ID=MI0003536;Alias=MI0003536;Name=mmu-mir-20b	0	0	0	0	0	0
ID=MI0003537;Alias=MI0003537;Name=mmu-mir-450a-2	3	0	0	1	0	2
ID=MI0003538;Alias=MI0003538;Name=mmu-mir-503	0	0	0	0	0	0
ID=MI0003539;Alias=MI0003539;Name=mmu-mir-291b	0	0	0	0	0	0
ID=MI0003716;Alias=MI0003716;Name=mmu-mir-302b	0	0	0	0	0	0
ID=MI0003717;Alias=MI0003717;Name=mmu-mir-302c	0	0	0	0	0	0
ID=MI0003718;Alias=MI0003718;Name=mmu-mir-302d	0	0	0	0	0	0
ID=MI0004118;Alias=MI0004118;Name=mmu-mir-1224	0	0	0	0	0	1
ID=MI0004120;Alias=MI0004120;Name=mmu-mir-1247	58	69	45	97	68	79
ID=MI0004122;Alias=MI0004122;Name=mmu-mir-301b	9	4	5	0	5	3
ID=MI0004123;Alias=MI0004123;Name=mmu-mir-675	0	0	1	0	0	0
ID=MI0004124;Alias=MI0004124;Name=mmu-mir-744	13	34	12	23	22	30
ID=MI0004125;Alias=MI0004125;Name=mmu-mir-374b	30	32	11	21	42	19
ID=MI0004126;Alias=MI0004126;Name=mmu-mir-216b	0	0	3	0	0	0
ID=MI0004127;Alias=MI0004127;Name=mmu-mir-592	0	0	0	0	0	0
ID=MI0004129;Alias=MI0004129;Name=mmu-mir-758	0	0	0	0	0	0
ID=MI0004130;Alias=MI0004130;Name=mmu-mir-1264	0	0	0	0	0	0
ID=MI0004131;Alias=MI0004131;Name=mmu-mir-551b	0	0	0	0	0	0
ID=MI0004132;Alias=MI0004132;Name=mmu-mir-1249	1	2	0	0	5	1
ID=MI0004133;Alias=MI0004133;Name=mmu-mir-671	12	20	16	21	28	37
ID=MI0004134;Alias=MI0004134;Name=mmu-mir-668	3	7	2	13	15	7
ID=MI0004155;Alias=MI0004155;Name=mmu-mir-1843a	8	6	2	4	6	5
ID=MI0004171;Alias=MI0004171;Name=mmu-mir-665	0	0	0	0	2	1
ID=MI0004196;Alias=MI0004196;Name=mmu-mir-667	0	0	0	0	0	0
ID=MI0004203;Alias=MI0004203;Name=mmu-mir-770	0	0	0	0	0	0
ID=MI0004215;Alias=MI0004215;Name=mmu-mir-762	8	3	3	8	16	9
ID=MI0004220;Alias=MI0004220;Name=mmu-mir-3475	0	1	0	0	1	0
ID=MI0004227;Alias=MI0004227;Name=mmu-mir-344d-3	0	0	0	0	0	0
ID=MI0004249;Alias=MI0004249;Name=mmu-mir-802	0	0	0	0	0	0
ID=MI0004258;Alias=MI0004258;Name=mmu-mir-672	13	21	9	13	21	16
ID=MI0004295;Alias=MI0004295;Name=mmu-mir-670	0	0	0	0	0	0
ID=MI0004300;Alias=MI0004300;Name=mmu-mir-1298	0	0	0	0	0	0
ID=MI0004306;Alias=MI0004306;Name=mmu-mir-761	0	0	0	1	0	3
ID=MI0004310;Alias=MI0004310;Name=mmu-mir-764	0	0	0	0	0	0
ID=MI0004412;Alias=MI0004412;Name=mmu-mir-3059	0	0	0	0	0	0
ID=MI0004418;Alias=MI0004418;Name=mmu-mir-3058	0	0	1	0	0	0
ID=MI0004485;Alias=MI0004485;Name=mmu-mir-3099	0	0	0	0	0	0
ID=MI0004486;Alias=MI0004486;Name=mmu-mir-3106	0	0	0	0	0	0
ID=MI0004516;Alias=MI0004516;Name=mmu-mir-763	0	0	0	0	0	0
ID=MI0004523;Alias=MI0004523;Name=mmu-mir-669a-1	0	0	0	17	8	0
ID=MI0004524;Alias=MI0004524;Name=mmu-mir-344d-1	0	0	0	0	0	0
ID=MI0004553;Alias=MI0004553;Name=mmu-mir-666	0	2	2	0	1	5
ID=MI0004554;Alias=MI0004554;Name=mmu-mir-759	0	0	0	0	1	0
ID=MI0004589;Alias=MI0004589;Name=mmu-mir-496a	0	1	0	0	5	0
ID=MI0004601;Alias=MI0004601;Name=mmu-mir-673	0	1	0	0	0	0
ID=MI0004605;Alias=MI0004605;Name=mmu-mir-760	0	0	0	0	3	0
ID=MI0004611;Alias=MI0004611;Name=mmu-mir-674	0	1	1	0	0	2
ID=MI0004619;Alias=MI0004619;Name=mmu-mir-344d-2	0	0	0	0	0	0
ID=MI0004633;Alias=MI0004633;Name=mmu-mir-488	0	0	0	0	0	0
ID=MI0004634;Alias=MI0004634;Name=mmu-mir-677	63	75	21	18	53	57
