	piRNA_Aln_CTR1_info.bed	piRNA_Aln_CTR2_info.bed	piRNA_Aln_CTR3_info.bed	piRNA_Aln_TRT4.bed	piRNA_Aln_TRT5.bed	piRNA_Aln_TRT6.bed
11-qE1-9443.2	0	0	0	0	0	0
12-qE-23911.1	0	0	0	0	0	0
12-qE-23911.2	0	0	0	0	0	0
12-qE-7089.1	0	0	0	0	0	0
12-qE-7089.2	0	0	0	0	0	0
13-qA3.1-213.1	0	0	0	0	0	0
13-qA3.1-213.2	0	0	0	0	0	0
13-qA3.1-213.3	0	0	0	0	0	0
13-qA3.1-355.1	0	0	0	0	0	0
13-qA3.1-355.2	0	0	0	0	0	0
13-qA3.1-355.3	0	0	0	0	0	0
13-qA5-156.1	71	96	31	43	61	74
13-qA5-156.2	4	2	2	2	2	0
13-qA5-208.1	0	0	0	0	0	0
13-qA5-208.2	0	0	0	0	0	0
13-qA5-208.3	0	0	0	0	0	0
13-qA5-464.1	0	0	0	0	0	0
13-qA5-464.2	0	0	0	0	0	0
13-qA5-464.3	0	0	0	0	0	0
13-qA5-464.4	0	0	0	0	0	0
13-qA5-464.5	0	0	0	0	0	0
13-qA5-703.1	0	0	0	0	0	0
13-qA5-967.1	0	0	0	0	0	0
13-qB1-1517.1	70	94	30	28	68	102
13-qB1-1517.2	0	0	0	0	0	0
13-qB1-1517.3	0	0	0	0	0	0
13-qB1-1517.4	8	12	10	8	25	6
14-qA3-19970.1	0	0	0	0	0	0
14-qA3-19970.2	0	0	0	0	0	0
14-qA3-2286.1	0	0	0	0	0	0
14-qA3-2286.2	478	504	236	260	388	496
14-qA3-284.1	66	58	22	46	61	41
14-qA3-284.2	71	59	27	46	61	43
14-qA3-3095.1	0	0	0	0	0	0
14-qC1-1010.1	0	0	0	0	0	0
14-qC1-1010.2	0	0	0	0	0	0
14-qC1-1261.1	360	334	118	201	134	363
15-qD1-17920.1	0	0	0	0	0	0
15-qD1-17920.2	0	0	0	0	0	0
15-qD1-17920.3	0	0	0	0	0	0
15-qD1-4001.1	0	0	0	0	0	0
15-qD1-4001.2	0	0	0	0	0	0
15-qD1-4001.3	0	0	0	0	0	0
15-qD3-14639.1	2924	3062	671	2170	2423	2895
15-qD3-14639.2	0	0	0	0	0	0
15-qD3-14639.3	3007	3160	706	2238	2521	2985
15-qE1-1119.1	0	0	0	0	0	0
15-qE1-1119.2	0	0	0	0	0	0
15-qE1-1119.3	0	0	0	0	0	0
15-qE1-3710.1	0	0	0	0	0	0
15-qE1-3710.2	0	0	0	0	0	0
15-qE1-3710.3	0	0	0	0	0	0
15-qE1-8387.1	0	0	0	0	0	0
15-qE1-8387.2	0	0	0	0	0	0
17-qA3.3-26735.1	3898	3479	1600	2588	3149	3697
17-qA3.3-26735.2	3886	3463	1596	2577	3134	3676
17-qA3.3-26735.3	3898	3479	1600	2588	3149	3697
17-qA3.3-27363.1	0	0	0	0	0	0
17-qA3.3-352.1	0	0	0	0	0	0
17-qA3.3-352.2	0	0	0	0	0	0
17-qA3.3-352.3	0	0	0	0	0	0
17-qC-59.1	0	0	0	0	0	0
17-qC-59.2	0	0	0	0	0	0
17-qC-935.1	0	0	0	0	0	0
17-qC-935.2	0	0	0	0	0	0
17-qC-935.3	0	0	0	0	0	0
17-qC-935.4	0	0	0	0	0	0
17-qC-935.5	0	0	0	0	0	0
17-qE1.1-7037.1	0	0	0	0	0	0
18-qE1-1295.1	0	0	0	0	0	0
18-qE1-1295.2	0	0	0	0	0	0
18-qE1-36451.1	0	0	0	0	0	0
19-qC2-1361.1	0	0	0	0	0	0
19-qC2-1361.2	159	161	129	234	593	277
19-qC2-1361.3	159	161	129	234	593	277
2-qE1-35981.1	0	0	0	0	0	0
2-qE1-35981.2	0	0	0	0	0	0
2-qE5-4.1	0	0	0	0	0	0
2-qF1-2536.1	0	0	0	0	0	0
2-qF1-2536.2	0	0	0	0	0	0
2-qG3-1029.1	0	0	0	0	0	0
2-qG3-1029.2	0	0	0	0	0	0
3-qA2-617.1	0	0	0	0	0	0
3-qA2-617.2	0	0	0	0	0	0
3-qA3-2052.1	0	0	0	0	0	0
3-qA3-2052.2	0	0	0	0	0	0
4-qB3-277.1	0	0	0	0	0	0
4-qB3-277.2	0	0	0	0	0	0
4-qB3-3994.1	0	0	0	0	0	0
4-qB3-3994.2	0	0	0	0	0	0
4-qB3-3994.3	0	0	0	0	0	0
4-qB3-3994.4	0	0	0	0	0	0
4-qB3-639.1	0	0	0	0	0	0
4-qB3-639.2	0	0	0	0	0	0
4-qC5-17839.1	0	0	0	0	0	0
4-qD2.2-2182.1	380	375	168	218	356	325
4-qD2.2-349.1	0	0	0	0	0	0
4-qD2.2-349.2	0	0	0	0	0	0
4-qD3-2082.1	0	0	0	0	0	0
4-qD3-2082.2	0	0	0	0	0	0
4-qD3-2082.3	0	0	0	0	0	0
4-qD3-2082.4	0	0	0	0	0	0
5-qF-14224.1	0	0	0	0	0	0
5-qF-14224.2	0	0	0	0	0	0
5-qF-14508.1	0	0	0	0	0	0
5-qF-14508.2	0	0	0	0	0	0
5-qF-4633.1	0	0	0	0	0	0
5-qF-4633.2	1096	905	513	551	624	809
5-qG2-2301.1	0	0	0	0	0	0
5-qG2-2301.2	0	0	0	0	0	0
5-qG2-950.1	0	0	0	0	0	0
5-qG3-23659.1	0	0	0	0	0	0
5-qG3-23659.2	0	0	0	0	0	0
6-qC3-100.1	0	0	0	0	0	0
6-qC3-100.2	0	0	0	0	0	0
6-qC3-100.3	0	0	0	0	0	0
6-qC3-100.4	0	0	0	0	0	0
6-qC3-100.5	0	0	0	0	0	0
6-qC3-100.6	0	0	0	0	0	0
6-qC3-100.7	0	0	0	0	0	0
6-qC3-2394.1	0	0	0	0	0	0
6-qC3-2394.2	0	0	0	0	0	0
6-qC3-6258.1	0	0	0	0	0	0
6-qC3-6258.2	0	0	0	0	0	0
6-qC3-6258.3	747	722	234	371	506	408
6-qD1-2831.1	0	0	0	0	0	0
6-qD1-2831.2	315	268	166	267	241	299
6-qD1-2831.3	315	268	166	267	241	299
6-qF3-1063.1	0	0	0	0	0	0
6-qF3-1063.2	0	0	0	0	0	0
6-qF3-1063.3	0	0	0	0	0	0
6-qF3-1063.4	0	0	0	0	0	0
6-qF3-1063.5	0	0	0	0	0	0
6-qF3-28913.1	0	0	0	0	0	0
6-qF3-3040.1	0	0	0	0	0	0
6-qF3-3040.2	0	0	0	0	0	0
6-qF3-8009.1	0	0	0	0	0	0
7-qB5-6255.1	0	0	0	0	0	0
7-qB5-6255.2	0	0	0	0	0	0
7-qD1-16444.1	0	0	0	0	0	0
7-qD1-16444.2	0	0	0	0	0	0
7-qD1-19431.1	0	0	0	0	0	0
7-qD1-19431.2	0	0	0	0	0	0
7-qD1-654.1	0	0	0	0	0	0
7-qD1-654.2	0	0	0	0	0	0
7-qD1-9417.1	0	0	0	0	0	0
7-qD2-11976.1	0	0	0	0	0	0
7-qD2-11976.2	1787	1359	642	840	1108	1037
7-qD2-11976.3	1883	1456	681	891	1174	1115
7-qD2-24830.1	0	0	0	0	0	0
7-qD2-24830.2	0	0	0	0	0	0
7-qD2-24830.3	0	0	0	0	0	0
7-qD2-40.1	0	0	0	0	0	0
7-qF3-246.1	0	0	0	0	0	0
7-qF3-3125.1	71	109	28	41	73	92
7-qF3-3125.2	95	140	40	58	88	120
7-qF3-3125.3	246	301	96	141	211	272
7-qF3-3125.4	246	301	96	141	211	272
7-qF3-3125.5	257	304	99	146	220	280
8-qA2-343.1	0	0	0	0	0	0
8-qA4-155.1	0	0	0	0	0	0
8-qA4-155.2	0	0	0	0	0	0
8-qA4-332.1	0	0	0	0	0	0
8-qA4-332.2	0	0	0	0	0	0
8-qC5-2209.1	0	0	0	0	0	0
8-qC5-8200.1	0	0	0	0	0	0
8-qE1-3748.1	0	0	0	0	0	0
8-qE1-3748.2	0	0	0	0	0	0
9-qA1-178.1	0	0	0	0	0	0
9-qA1-178.2	53	43	9	18	66	31
9-qA1-178.3	0	0	0	0	0	0
9-qA5.3-1495.1	232	280	119	204	306	197
9-qA5.3-1495.2	234	282	121	206	308	199
9-qA5.3-24188.1	0	0	0	0	0	0
9-qC-10667.1	0	0	0	0	0	0
9-qC-31469.1	3652	3829	1486	2200	3261	3250
9-qF4-150.1	0	0	0	0	0	0
9-qF4-150.2	0	0	0	0	0	0
pi-1700006A11Rik.1	0	0	0	0	0	0
pi-1700006A11Rik.2	0	0	0	0	0	0
pi-1700016M24Rik.1	0	0	0	0	0	0
pi-1700016M24Rik.2	0	0	0	0	0	0
pi-1700016M24Rik.3	0	0	0	0	0	0
pi-Abl2.1	0	0	0	0	0	0
pi-Abl2.2	0	0	0	0	0	0
pi-Acvr2b.1	0	0	0	0	0	0
pi-Ankrd11.1	0	0	0	0	0	0
pi-Ankrd11.2	0	0	0	0	0	0
pi-Arhgap20.1	0	0	0	0	0	0
pi-Arhgap20.2	0	0	0	0	0	0
pi-Asb1.1	0	0	0	0	0	0
pi-Asb1.2	0	0	0	0	0	0
pi-Asb1.3	0	0	0	0	0	0
pi-Atxn1l.1	0	0	0	0	0	0
pi-Atxn1l.2	0	0	0	0	0	0
pi-BC026590.1	0	0	0	0	0	0
pi-BC026590.2	0	0	0	0	0	0
pi-Bcl2l13.1	0	0	0	0	0	0
pi-Bcl2l13.2	0	0	0	0	0	0
pi-Bend4.1	0	0	0	0	0	0
pi-Bend4.2	0	0	0	0	0	0
pi-Cbfa2t2.1	11	8	4	9	2	11
pi-Cbl.1	0	0	0	0	0	0
pi-Cbl.2	1	4	1	0	4	3
pi-Cbl.3	0	0	0	0	0	0
pi-Cbx5.1	0	0	0	0	0	0
pi-Cbx5.2	0	0	0	0	0	0
pi-Cbx5.3	0	0	0	0	0	0
pi-Cbx5.4	0	0	0	0	0	0
pi-Ccdc117.1	0	0	0	0	0	0
pi-Ccrn4l.1	1	0	0	0	1	0
pi-Ccrn4l.2	1	0	0	0	1	0
pi-Cdc42ep3.1	0	0	0	0	0	0
pi-Cdc42ep3.2	0	0	0	0	0	0
pi-Cdc42ep3.3	0	0	0	0	0	0
pi-Cmtm4.1	0	0	0	0	0	0
pi-Cmtm4.2	0	0	0	0	0	0
pi-Cramp1l.1	0	0	0	0	0	0
pi-Cramp1l.2	0	0	0	0	0	0
pi-Crkl.1	6	13	3	9	6	8
pi-Crkl.2	6	13	3	9	6	8
pi-Ctdsp2.1	0	0	0	0	0	0
pi-Ctdsp2.2	0	0	0	0	0	0
pi-Ctdsp2.3	0	0	0	0	0	0
pi-D10Wsu102e.1	0	0	0	0	0	0
pi-D10Wsu102e.2	0	0	0	0	0	0
pi-D730040F13Rik.1	0	0	0	0	0	0
pi-D730040F13Rik.2	0	0	0	0	0	0
pi-Dcaf7.1	0	0	0	0	0	0
pi-Dcaf7.2	0	0	0	0	0	0
pi-Ddx19b.1	0	0	0	0	0	0
pi-Ddx19b.2	0	0	0	0	0	0
pi-Ddx19b.3	0	0	0	0	0	0
pi-Dnmt3a.1	0	0	0	0	0	0
pi-Dnmt3a.2	0	0	0	0	0	0
pi-Eif2c2.1	0	0	0	0	0	0
pi-Eif4ebp2.1	0	0	0	0	0	0
pi-Eif4ebp2.2	0	0	0	0	0	0
pi-Elk4.1	0	0	0	0	0	0
pi-Exoc8.1	7	12	4	2	7	32
pi-Exoc8.2	0	0	0	0	0	0
pi-Exog.1	0	0	0	0	0	0
pi-Exog.2	0	0	0	0	0	0
pi-Exog.3	0	0	0	0	0	0
pi-Eya3.1	0	0	0	0	0	0
pi-Eya3.2	0	0	0	0	0	0
pi-Fam168b.1	0	0	0	0	0	0
pi-Fam168b.2	0	0	0	0	0	0
pi-Fam168b.3	0	0	0	0	0	0
pi-Fam53b.1	0	0	0	0	0	0
pi-Fam53b.2	0	0	0	0	0	0
pi-Fbxl18.1	5	2	0	5	6	12
pi-Fbxl18.2	5	2	0	5	6	12
pi-Fbxl18.3	4	2	0	0	6	3
pi-Fbxo41.1	0	0	0	0	0	0
pi-Fbxo41.2	0	0	0	0	0	0
pi-Foxo3.1	0	0	0	0	0	0
pi-Foxo3.2	0	0	0	0	0	0
pi-Foxo3.3	0	0	0	0	0	0
pi-Fth1.1	0	0	0	0	0	0
pi-Gabpb2.1	0	0	0	0	0	0
pi-Gabpb2.2	0	0	0	0	0	0
pi-Gan.1	37	57	36	18	43	25
pi-Gan.2	0	0	0	0	0	0
pi-Gm5878.1	0	0	0	0	0	0
pi-Gtf3c4.1	0	0	0	0	0	0
pi-Hic2.1	0	0	0	0	0	0
pi-Hif1an.1	3	5	0	1	3	3
pi-Hif1an.2	2	3	0	1	1	3
pi-Hinfp.1	0	0	0	0	0	0
pi-Hinfp.2	0	0	0	0	0	0
pi-Hist1h1a.1	1	0	0	0	1	0
pi-Hist1h1a.2	1	0	0	0	1	0
pi-Hjurp.1	17	7	3	3	5	5
pi-Hjurp.2	18	7	3	3	5	5
pi-Hmbox1.1	0	0	0	0	0	0
pi-Hmbox1.2	0	0	0	0	0	0
pi-Igf2bp1.1	0	0	0	0	0	0
pi-Igf2bp1.2	0	0	0	0	0	0
pi-Igf2bp1.3	0	0	0	0	0	0
pi-Igf2bp1.4	0	0	0	0	0	0
pi-Igsf9b.1	0	0	0	0	0	0
pi-Igsf9b.2	0	0	0	0	0	0
pi-Igsf9b.3	0	0	0	0	0	0
pi-Il17rd.1	0	0	0	0	0	0
pi-Il17rd.2	0	0	0	0	0	0
pi-Ing5.1	0	0	0	0	0	0
pi-Ing5.2	0	0	0	0	0	0
pi-Ing5.3	0	0	0	0	0	0
pi-Ip6k1.1	0	0	0	0	0	0
pi-Ip6k1.10	0	0	0	0	0	0
pi-Ip6k1.11	0	0	0	0	0	0
pi-Ip6k1.12	0	0	0	0	0	0
pi-Ip6k1.13	0	0	0	0	0	0
pi-Ip6k1.14	0	0	0	0	0	0
pi-Ip6k1.2	0	0	0	0	0	0
pi-Ip6k1.3	0	0	0	0	0	0
pi-Ip6k1.4	0	0	0	0	0	0
pi-Ip6k1.5	0	0	0	0	0	0
pi-Ip6k1.6	0	0	0	0	0	0
pi-Ip6k1.7	0	0	0	0	0	0
pi-Ip6k1.8	0	0	0	0	0	0
pi-Ip6k1.9	0	0	0	0	0	0
pi-Ipmk.1	0	0	0	0	0	0
pi-Ipmk.2	0	0	0	0	0	0
pi-Kcng3.1	0	0	0	0	0	0
pi-Kctd7.1	0	0	0	0	0	0
pi-Kctd7.2	0	0	0	0	0	0
pi-Klf13.1	0	0	0	0	0	0
pi-Klhl11.1	0	0	0	0	0	0
pi-Klhl11.2	0	0	0	0	0	0
pi-Lpp.1	8	38	1	4	12	32
pi-Lpp.2	7	31	0	2	11	25
pi-Lsmd1.1	2	4	1	4	3	4
pi-Luzp1.1	3	7	5	1	4	13
pi-Luzp1.2	2	6	4	1	4	13
pi-Luzp1.3	0	0	0	0	0	0
pi-Mafg.1	0	0	0	0	0	0
pi-Map3k9.1	0	0	0	0	0	0
pi-Map3k9.2	0	0	0	0	0	0
pi-March08.1	0	0	0	0	0	0
pi-March08.2	0	0	0	0	0	0
pi-Mcart1.1	0	0	0	0	0	0
pi-Mcart1.2	0	0	0	0	0	0
pi-Mcart1.3	0	0	0	0	0	0
pi-Mgll.1	24	21	12	11	11	21
pi-Mgll.2	30	27	13	18	22	22
pi-Mgll.3	30	27	13	18	22	22
pi-Mgll.4	0	0	0	0	0	0
pi-Mlc1.1	0	0	0	0	0	0
pi-Mlc1.2	0	0	0	0	0	0
pi-Mlec.1	9	27	9	8	17	25
pi-Mlec.2	1	8	2	3	3	8
pi-Mlec.3	1	3	1	2	2	4
pi-Mlec.4	1	3	1	2	2	6
pi-Mllt6.1	0	0	2	5	1	8
pi-Mrs2.1	0	0	0	0	0	0
pi-Mrs2.2	0	0	0	0	0	0
pi-Mrs2.3	0	0	0	0	0	0
pi-Mrs2.4	0	0	0	0	0	0
pi-Ndst1.1	0	0	0	0	0	0
pi-Nr2c2.1	0	0	0	0	0	0
pi-Nr2c2.2	0	0	0	0	0	0
pi-Nsd1.1	0	0	0	0	0	0
pi-Nsd1.2	0	0	0	0	0	0
pi-Nsd1.3	0	0	0	0	0	0
pi-Nsd1.4	0	0	0	0	0	0
pi-Nsd1.5	0	0	0	0	0	0
pi-Phf20.1	0	0	0	0	0	0
pi-Phf20.2	0	0	0	0	0	0
pi-Pou6f1.1	0	0	0	0	0	0
pi-Ppm1f.1	0	3	1	1	0	1
pi-Ppp1r12b.1	0	0	0	0	0	0
pi-Ppp1r15b.1	5	15	1	4	4	4
pi-Rab11fip4.1	0	0	0	0	0	0
pi-Rab11fip4.2	0	0	0	0	0	0
pi-Rad54l2.1	0	0	0	0	0	0
pi-Rad54l2.2	0	0	0	0	0	0
pi-Rc3h1.1	0	0	0	0	0	0
pi-Rc3h1.2	0	0	0	0	0	0
pi-Rcan3.1	0	0	0	0	0	0
pi-Rnf169.1	0	0	0	0	0	0
pi-Rplp1.1	4	8	3	5	1	2
pi-Shank3.1	0	0	0	0	0	0
pi-Shank3.2	0	0	0	0	0	0
pi-Shank3.3	0	0	0	0	0	0
pi-Slc43a2.1	21	18	5	3	11	29
pi-Slc43a2.2	21	18	5	3	11	29
pi-Slc43a2.3	4	9	2	0	6	6
pi-Smcr8.1	0	0	0	0	0	0
pi-Smcr8.2	0	0	0	0	0	0
pi-Smcr8.3	0	0	0	0	0	0
pi-Snx30.1	0	0	0	0	0	0
pi-Socs7.1	8	9	3	7	8	8
pi-Socs7.2	0	0	0	0	0	0
pi-Ssh1.1	0	0	0	0	0	0
pi-Strbp.1	0	0	0	0	0	0
pi-Strbp.2	0	0	0	0	0	0
pi-Tacc1.1	0	0	0	0	0	0
pi-Tacc1.2	0	0	0	0	0	0
pi-Tacc1.3	0	0	0	0	0	0
pi-Tacc1.4	0	0	0	0	0	0
pi-Tacc1.5	0	0	0	0	0	0
pi-Tbl2.1	272	347	164	222	233	414
pi-Tbl2.2	0	0	0	0	0	0
pi-Tbl2.3	283	362	168	230	248	417
pi-Tbl2.4	1	5	2	1	4	2
pi-Tef.1	0	0	0	0	0	0
pi-Tef.2	10	8	3	1	9	2
pi-Tef.3	0	0	0	0	0	0
pi-Tet3.1	0	0	0	0	0	0
pi-Tet3.2	6	7	2	0	3	5
pi-Tfcp2l1.1	5	6	2	3	10	7
pi-Tfcp2l1.2	0	0	0	0	0	0
pi-Tfcp2l1.3	0	0	0	0	0	0
pi-Tktl2.1	11	12	5	16	8	17
pi-Tmem194.1	0	0	0	0	0	0
pi-Tmem194.2	0	0	0	0	0	0
pi-Tmem194.3	0	0	0	0	0	0
pi-Tmem194.4	0	0	0	0	0	0
pi-Trim71.1	0	0	0	0	0	0
pi-Uhmk1.1	0	0	0	0	0	0
pi-Uhmk1.2	0	0	0	0	0	0
pi-Uhrf1bp1.1	0	0	0	0	0	0
pi-Uhrf1bp1.2	0	0	0	0	0	0
pi-Wdfy3.1	0	0	0	0	0	0
pi-Wdfy3.2	0	0	0	0	0	0
pi-Wipf2.1	0	0	0	0	0	0
pi-Wipf2.2	0	0	0	0	0	0
pi-Zbtb37.1	0	0	0	0	0	0
pi-Zbtb37.2	0	0	0	0	0	0
pi-Zbtb37.3	0	0	0	0	0	0
pi-Zbtb49.1	0	0	0	0	0	0
pi-Zbtb49.2	0	0	0	0	0	0
pi-Zdhhc23.1	0	0	0	0	0	0
pi-Zdhhc23.2	13	5	2	8	8	7
pi-Zfp280b.1	0	0	0	0	0	0
pi-Zfp346.2	0	0	0	0	0	0
pi-Zfp382.1	0	0	0	0	0	0
pi-Zfp382.2	0	0	0	0	0	0
pi-Zfp652.1	0	0	0	0	0	0
pi-Zfp652.2	0	0	0	0	0	0
pi-Zfp652.3	0	1	1	3	4	4
pi-Zfp866.1	1	0	1	0	1	8
pi-Zmat3.1	37	24	9	4	17	17
pi-Zyg11a.1	0	0	0	0	0	0
pi-Zyg11b.1	0	0	0	0	0	0
